id_dh,id_minuta_documento_habil,numero_documento_habil,situacao_dh,descricao_situacao_dh,tipo_documento_dh,ug_emitente_dh,descricao_ug_emitente_dh,data_vencimento_dh,data_emissao_dh,ug_pagadora_dh,descricao_ug_pagadora_dh,variacao_patrimonial_diminuta_dh,passivo_transferencia_constitucional_legal_dh,centro_custo_empenho,codigo_siorg_empenho,mes_referencia_empenho,ano_referencia_empenho,ug_beneficiada_dh,descricao_ug_beneficiada_dh,valor_dh,valor_rateio_dh,id_empenho,id_plano_acao,uf_beneficiario_plano_acao
23576,2021MDH00000640,2021TF002428,3,Enviado com Sucesso,TF,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,2021-07-30,2021-07-30,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,352450300,215250000,STNTRCON,105930,06,2020,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,3000000.0,,10309,,
23577,2021MDH00000641,2021TF002429,3,Enviado com Sucesso,TF,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,2021-07-30,2021-07-30,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,352450300,215250000,STNTRCON,105930,06,2020,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,1000000.0,,13578,,
22682,2020MDH00001600,2020TF001835,3,Enviado com Sucesso,TF,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,2020-06-29,2020-06-25,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,352450300,218952502,STNTRCON,105930,06,2020,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,1277000.0,,3477,,
21551,2020MDH00000469,2020TF001836,3,Enviado com Sucesso,TF,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,2020-06-29,2020-06-25,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,352450300,218952502,STNTRCON,105930,06,2020,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,1000000.0,,3656,,
23578,2021MDH00000642,2021TF002430,3,Enviado com Sucesso,TF,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,2021-07-30,2021-07-30,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,352450300,215250000,STNTRCON,105930,06,2020,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,200000.0,,10312,,
23579,2021MDH00000643,2021TF002431,3,Enviado com Sucesso,TF,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,2021-07-30,2021-07-30,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,352450300,215250000,STNTRCON,105930,06,2020,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,600000.0,,10319,,
23580,2021MDH00000644,2021TF002432,3,Enviado com Sucesso,TF,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,2021-07-30,2021-07-30,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,352450300,215250000,STNTRCON,105930,06,2020,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,300000.0,,10313,,
23581,2021MDH00000645,2021TF002433,3,Enviado com Sucesso,TF,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,2021-07-30,2021-07-30,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,352450300,215250000,STNTRCON,105930,06,2020,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,250000.0,,10315,,
23582,2021MDH00000646,2021TF002434,3,Enviado com Sucesso,TF,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,2021-07-30,2021-07-30,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,352450300,215250000,STNTRCON,105930,06,2020,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,800000.0,,10314,,
23583,2021MDH00000647,2021TF002435,3,Enviado com Sucesso,TF,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,2021-07-30,2021-07-30,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,352450300,215250000,STNTRCON,105930,06,2020,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,250000.0,,10323,,
