id_empenho,id_minuta_empenho,numero_empenho,situacao_empenho,descricao_situacao_empenho,tipo_documento_empenho,descricao_tipo_documento_empenho,status_processamento_empenho,ug_responsavel_empenho,ug_emitente_empenho,descricao_ug_emitente_empenho,fonte_recurso_empenho,plano_interno_empenho,ptres_empenho,grupo_natureza_despesa_empenho,natureza_despesa_empenho,subitem_empenho,categoria_despesa_empenho,modalidade_despesa_empenho,cnpj_beneficiario_empenho,nome_beneficiario_empenho,uf_beneficiario_empenho,numero_ro_empenho,data_emissao_empenho,prioridade_desbloqueio_empenho,valor_empenho,id_plano_acao
26597,2023NME000022146,2023NE005276,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,1000000000,T.ESPECIAIS,219081.0,4,444041,19,INVESTIMENTO,40,24772113000173,MUNICIPIO DE RIBEIRAO CASCALHEIRA,MT,2023RO005312,2023-07-05,1258991,250000.0,32926
24818,2023NME000020367,2023NE005292,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,1000000000,T.ESPECIAIS,218478.0,3,334041,43,CUSTEIO,40,83024505000113,MUNICIPIO DE SEARA,SC,2023RO005328,2023-07-05,107,100000.0,32865
24769,2023NME000020318,2023NE005298,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,1000000000,T.ESPECIAIS,218192.0,3,334041,45,CUSTEIO,40,45780103000150,MUNICIPIO DE JUNDIAI,SP,2023RO005334,2023-07-05,36,1629209.0,32740
31238,2023NME000026789,2023NE005326,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,1000000000,T.ESPECIAIS,219005.0,4,444041,03,INVESTIMENTO,40,12342663000173,MUNICIPIO DE MATRIZ DE CAMARAGIBE,AL,2023RO005362,2023-07-05,1310942,500000.0,37657
30069,2023NME000025619,2023NE005388,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,1000000000,T.ESPECIAIS,218716.0,4,444041,29,INVESTIMENTO,40,76968064000142,MUNICIPIO DE RIBEIRAO DO PINHAL,PR,2023RO005424,2023-07-05,8,151683.0,36490
24754,2023NME000020303,2023NE005465,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,1000000000,T.ESPECIAIS,219085.0,3,334041,23,CUSTEIO,40,18349944000134,MUNICIPIO DE RUBIM,MG,2023RO005501,2023-07-05,122,30000.0,32712
24738,2023NME000020287,2023NE005497,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,1000000000,T.ESPECIAIS,218845.0,3,334041,37,CUSTEIO,40,08111338000122,JARDIM DE ANGICOS,RN,2023RO005533,2023-07-05,115,50000.0,32651
28129,2023NME000023678,2023NE005624,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,1000000000,T.ESPECIAIS,218244.0,4,444041,45,INVESTIMENTO,40,51455087000122,VARGEM GRANDE PAULISTA,SP,2023RO005660,2023-07-05,34,843930.0,34550
29808,2023NME000025357,2023NE005626,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,1000000000,T.ESPECIAIS,218652.0,4,444041,23,INVESTIMENTO,40,17888116000101,MUNICIPIO DE SANTANA DO JACARE,MG,2023RO005662,2023-07-05,33,300000.0,36229
24829,2023NME000020378,2023NE005914,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,1000000000,T.ESPECIAIS,218182.0,3,334041,23,CUSTEIO,40,01615007000180,MONTE FORMOSO,MG,2023RO005950,2023-07-05,39,100000.0,32896
