id_plano_acao,id_executor,cnpj_executor,nome_executor,objeto_executor,vl_custeio_executor,vl_investimento_executor,uf_beneficiario_plano_acao
38527,33566,01613028000167,MUNICIPIO DE IRACEMA,RECUPERAÇÃO DE ESTRADAS VICINAIS ,0.0,4350000.0,
71311,3339,08787012000110,MUNICIPIO DE DUAS ESTRADAS,"Reconstrução do Palacete Francisco Costa
",0.0,300000.0,
66198,294,16429268000183,MUNICIPIO DE SAO JOSE DA VITORIA,"Construção do CRAS – Centro de Referência da Assistência Social, através de Emenda Parlamentar nº 202437380005, do Município de São José da 
Vitória/Bahia, suficientemente especificada nos projetos, memoriais e especificações técnicas, detalhes, catálogo de componentes e planilha orçamentária.",0.0,300000.0,
74780,9445,01629276000104,MUNICIPIO DE NOVO GAMA,Infraestrutura no municipio de Novo Gama - GO. ,0.0,2000000.0,
41779,5730,88186754000129,MUNICIPIO DE PUTINGA," AQUISIÇÃO DE MATERIAIS DE CONSTRUÇÃO PARA AMPLIAÇÃO DO GINÁSIO DA
 LINHA PUTINGA BAIXA, NO INTERIOR DO MUNICÍPIO DE PUTINGA, COM RECURSOS DO PROGRAMA/PLANO DE
 AÇÃO Nº 09032023-2-041779 DO DEPUTADO FEDERAL AFONSO HAMM",0.0,200000.0,
16328,295,83102780000108,MUNICIPIO DE BENEDITO NOVO,Manutenção das Vias urbanas,0.0,200000.0,
4113,18162,76167733000187,MUNICIPIO DE SAPOPEMA,CONSTRUÇÃO DE REDE DE ABASTECIMENTO DO BAIRRO MAMBUCAS,0.0,300000.0,PR
20124,30850,07725138000105,MUNICIPIO DE SANTA QUITERIA,"AQUISÇÃO DE VEÍCULOS E EQUIPAMENTOS
",0.0,1300000.0,
3459,299,83102780000108,MUNICIPIO DE BENEDITO NOVO,Abertura e Pavimentação de Ruas,0.0,250000.0,SC
3367,359,46392122000171,SECRETARIA MUNICIPAL  DE ESPORTES E LAZER _  SEME,"Contratação de empresa para aquisição equipamentos esportivos para prática de Ginástica Artística desenvolvida no COTP, do Departamento de Gestão de Alto Rendimento – DGEA.",0.0,850000.0,SP
14117,300,83102780000108,MUNICIPIO DE BENEDITO NOVO,Manutenção das Atividades da Saúde,180000.0,0.0,
16593,3230,44428506000171,MUNICIPIO DE ANDRADINA,INFRAESTRUTURA - DRENAGEM DE AGUAS PLUVIAIS,0.0,100000.0,
14480,3238,01067933000169,MUNICIPIO DE NOVO ACORDO,Infraestrutura,0.0,200000.0,
31302,29997,01612539000164,MUNICIPIO DE ARAGUANA,MANUTENÇÃO DOS DIVERSOS SERVIÇOS NECESSARIOS PARA O BOM FUNCIONAMENTO DA ADMISTRAÇÃO MUNICIPAL DE ARAGUANÃ - MA.,950000.0,0.0,
74835,10753,06323208000128,MUNICIPIO DE IGARAPE GRANDE,Recursos destinados da emenda 202444190004-Márcio Honaiser,0.0,1000000.0,
