id_historico_op_ob,data_hora_historico_op,historico_situacao_op,descricao_historico_situacao_op,id_op_ob,id_dh,id_empenho,id_plano_acao,uf_beneficiario_plano_acao
1,2020-06-25T18:02:44.936444,1,Aguardando Envio para o SIAFI,1,22780.0,,,
2,2020-06-25T18:10:00.046529,3,Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro,1,22780.0,,,
3,2020-06-26T10:32:29.507567,1,Aguardando Envio para o SIAFI,2,,,,
4,2020-06-26T10:32:29.507567,1,Aguardando Envio para o SIAFI,3,,,,
5,2020-06-26T10:32:29.507567,1,Aguardando Envio para o SIAFI,4,,,,
6,2020-06-26T10:32:29.507567,1,Aguardando Envio para o SIAFI,5,,,,
7,2020-06-26T10:32:29.507567,1,Aguardando Envio para o SIAFI,6,21467.0,4251.0,,
8,2020-06-26T10:32:29.507567,1,Aguardando Envio para o SIAFI,7,21468.0,3958.0,,
9,2020-06-26T10:32:29.507567,1,Aguardando Envio para o SIAFI,8,,,,
10,2020-06-26T10:32:29.507567,1,Aguardando Envio para o SIAFI,9,,,,
11,2020-06-26T10:32:29.507567,1,Aguardando Envio para o SIAFI,10,21156.0,3554.0,,
12,2020-06-26T10:32:29.507567,1,Aguardando Envio para o SIAFI,11,21459.0,4576.0,,
13,2020-06-26T10:32:29.507567,1,Aguardando Envio para o SIAFI,12,,,,
14,2020-06-26T10:32:29.507567,1,Aguardando Envio para o SIAFI,13,,,,
15,2020-06-26T10:32:29.507567,1,Aguardando Envio para o SIAFI,14,21493.0,4419.0,,
16,2020-06-26T10:32:29.507567,1,Aguardando Envio para o SIAFI,15,,,,
17,2020-06-26T10:32:29.507567,1,Aguardando Envio para o SIAFI,16,,,,
18,2020-06-26T10:32:29.507567,1,Aguardando Envio para o SIAFI,17,,,,
19,2020-06-26T10:32:29.507567,1,Aguardando Envio para o SIAFI,18,21492.0,4310.0,,
20,2020-06-26T10:32:29.507567,1,Aguardando Envio para o SIAFI,19,21494.0,3650.0,,
21,2020-06-26T10:32:29.507567,1,Aguardando Envio para o SIAFI,20,,,,
22,2020-06-26T10:32:29.507567,1,Aguardando Envio para o SIAFI,21,,,,
23,2020-06-26T10:32:29.507567,1,Aguardando Envio para o SIAFI,22,21547.0,4003.0,,
24,2020-06-26T10:32:29.507567,1,Aguardando Envio para o SIAFI,23,21497.0,4073.0,,
25,2020-06-26T10:32:29.507567,1,Aguardando Envio para o SIAFI,24,21505.0,4587.0,,
26,2020-06-26T10:32:29.507567,1,Aguardando Envio para o SIAFI,25,,,,
27,2020-06-26T10:32:29.507567,1,Aguardando Envio para o SIAFI,26,,,,
28,2020-06-26T10:32:29.507567,1,Aguardando Envio para o SIAFI,27,21548.0,3493.0,,
29,2020-06-26T10:32:29.507567,1,Aguardando Envio para o SIAFI,28,,,,
30,2020-06-26T10:32:29.507567,1,Aguardando Envio para o SIAFI,29,,,,
