id_executor,id_meta,sequencial_meta,nome_meta,desc_meta,un_medida_meta,qt_uniade_meta,vl_custeio_emenda_especial_meta,vl_investimento_emenda_especial_meta,vl_custeio_recursos_proprios_meta,vl_investimento_recursos_proprios_meta,vl_custeio_rendimento_meta,vl_investimento_rendimento_meta,vl_custeio_doacao_meta,vl_investimento_doacao_meta,qt_meses_meta,id_plano_acao,uf_beneficiario_plano_acao
20776,32056,1,Meta 1,Reforma de Praças no município de Palmeiras de Goiás - GO.,UN,1.0,0.0,300000.0,0.0,0.0,0.0,0.0,0.0,0.0,36,,
215,293,1,Meta 1,"SWHOS ARTITICOS ""ARRAIÁ MUNICIPAL"" 29 E 30 JUNHO DE 2024",UN,2.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,,
25966,39933,1,Meta 1,Conclusão da Construção da UBS do Distrito do Vermelho,UN,1.0,0.0,1200000.0,0.0,0.0,0.0,0.0,0.0,0.0,36,,
6386,9406,1,Meta 1,Cobertura e/ou melhorias nas quadras esportivas da Escola Municipal de Ensino Fundamental Icaro.,UN,1.0,0.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,36,,
6313,9297,1,Meta 1,Auxilio na aquisição de Caminhão Caçamba,UN,1.0,0.0,75000.0,0.0,0.0,0.0,0.0,0.0,0.0,36,,
2141,3002,1,Meta 1,(SECULT) - Evento Cultural em Água Branca-PI,UN,1.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,,
32892,65370,1,Meta 1,AQUISIÇÃO DE PEÇAS,UN,1.0,300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,,
16014,24573,1,Meta 1,Reforma e Ampliação USAFA Ribamar,M2,450.0,0.0,600000.0,0.0,1370561.97,0.0,0.0,0.0,0.0,12,,
29997,52467,1,Meta 1,MANUTENÇÃO DOS DIVERSOS SERVIÇOS NECESSARIOS PARA O BOM FUNCIONAMENTO DA ADMISTRAÇÃO MUNICIPAL DE ARAGUANÃ - MA.,UN,1.0,950000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,31302.0,
3204,4553,1,Meta 1,Infraestrutura,UN,1.0,0.0,150000.0,0.0,0.0,0.0,0.0,0.0,0.0,36,,
5116,7514,2,Meta 2,Implantação de abastecimento de água na zona rural do município,UN,1.0,0.0,96869.1,0.0,0.0,0.0,0.0,0.0,0.0,36,,
1525,2147,1,Meta 1,"EXECUÇÃO URBANA DA OBRA DE AMPLIAÇÃO DO PRÉDIO SEDE DA BRIGADA MILITAR COM EXTENSÃO DE 24,50m². ",M2,24.0,0.0,250000.0,0.0,0.0,0.0,0.0,0.0,0.0,20,,
95,125,1,Meta 1,"Aquisição e 97 Aquisição de Kits de Apicultura (Colmeia completa, suporte para colmeia, fumigador, macacão, bota de pvc, luva, cera de abelha, carretilha, formão, garfo desoperculador, etc).",UN,97.0,610730.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,,
27837,43164,1,Meta 1,REFORMA DE MERCADO E CONSTRUÇÃO DE UBS.,UN,1.0,0.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,36,,
1848,2572,1,Meta 1,CONTRUÇÃO DE CENTRO DE TREINAMENTO DE VOLEIBOL,UN,1.0,0.0,750000.0,0.0,250000.0,0.0,0.0,0.0,0.0,36,,
14055,21631,1,Meta 1,Cobertura de Quadras e Piscinas,M2,100.0,0.0,800000.0,0.0,0.0,0.0,0.0,0.0,0.0,10,,
28033,66380,7,Meta 7,Saldo em conta.,UN,1.0,0.0,183182.14,0.0,0.0,0.0,0.0,0.0,0.0,36,,
10734,16927,6,Meta 6,Balança Digital Portátil,UN,2.0,0.0,3966.0,0.0,0.0,0.0,0.0,0.0,0.0,36,,
10,12,1,Meta 1,Construção de Pista de Skate,UN,1.0,0.0,160000.0,0.0,0.0,0.0,0.0,0.0,0.0,10,,
10,13,2,Meta 2,Reparos nas vias urbanas,UN,1.0,0.0,91650.0,0.0,0.0,0.0,0.0,0.0,0.0,10,,
10,14,3,Meta 3,Calhas Centro Municipal de Educação Infantil Professora Elizabeth Damas Medeiros,UN,1.0,0.0,48350.0,0.0,0.0,0.0,0.0,0.0,0.0,10,,
76,96,1,Meta 1,Manutenção das Atividades da Educação Especial,UN,1.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,36,,
28388,44761,1,Meta 1,Aquisição de Escavadeira Hidraulica,UN,1.0,0.0,76000.0,0.0,774000.0,0.0,0.0,0.0,0.0,24,,
10734,16928,7,Meta 7,Forno de Microondas Opção 2: DE 26 L A 30,UN,1.0,0.0,793.0,0.0,0.0,0.0,0.0,0.0,0.0,36,,
25,36,1,Meta 1,marcha para jesus,UN,1.0,15022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,
367,510,1,Meta 1,Aquisicao de Conjunto de Desencarcerador,UN,1.0,200000.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,1,,
33380,67362,1,Meta 1,EXECUÇÃO DE OBRA DE EXTENSÃO DE REDE ELETRICA.,UN,1.0,0.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,12,,
25966,39934,2,Meta 2,Reforma do Teatro Municipal Zaccarias Marques,UN,1.0,0.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,36,,
23923,37148,1,Meta 1,CONSTRUÇÃO E RECUPERAÇÃO DE ESTRADAS VICINAIS NO MUNICÍPIO,UN,1.0,0.0,300000.0,0.0,0.0,0.0,0.0,0.0,0.0,36,33900.0,
4671,6788,1,Meta 1,INFRAESTRUTURA URBANA ,UN,1.0,0.0,1400000.0,0.0,0.0,0.0,0.0,0.0,0.0,36,,
10734,16929,8,Meta 8,Carro maca avançado,UN,4.0,0.0,63696.0,0.0,0.0,0.0,0.0,0.0,0.0,36,,
10734,16930,9,Meta 9,Autorefrator,UN,1.0,0.0,38099.56,0.0,0.0,0.0,0.0,0.0,0.0,36,,
1824,2545,1,Meta 1,Aquisição de equipamentos e material permanente para Saúde,UN,1.0,0.0,2500000.0,0.0,0.0,0.0,0.0,0.0,0.0,48,,
13345,20690,1,Meta 1,Aquisição de Máquina Perfuratriz,UN,1.0,0.0,650000.0,0.0,150000.0,0.0,0.0,0.0,0.0,1,,
8175,12745,6,Meta 6,PAVIMENTAÇÃO EM DIVERSAS RUAS ,M2,83.0,0.0,11586.3,0.0,0.0,0.0,111725.7,0.0,0.0,36,,
10734,16931,10,Meta 10,Longarina,UN,89.0,0.0,70285.97,0.0,0.0,0.0,0.0,0.0,0.0,36,,
19528,29979,1,Meta 1,Recapeamento de vias urbanas do municipio,M2,12746.0,0.0,1000000.0,0.0,0.0,0.0,44669.68,0.0,0.0,6,,
1692,2370,1,Meta 1,PAVIMENTAÇÃO  POVOADO BREJINHO ,UN,1.0,0.0,429209.0,0.0,0.0,0.0,0.0,0.0,0.0,36,42222.0,
24895,38370,1,Meta 1,Pavimentação asfáltica de Vias Urbanas - Manutenção das Estradas Vicinais,M,1.0,0.0,150000.0,0.0,0.0,0.0,0.0,0.0,0.0,36,,
12,17,1,Meta 1,REFORMA COMPLETA DO GRAMADO,UN,1.0,0.0,1750000.0,0.0,0.0,0.0,0.0,0.0,0.0,36,,
12,18,2,Meta 2,REFORMA E ADEQUAÇÃO DA ÁREA EXTERNA E ARQUIBANCADAS,UN,1.0,0.0,250000.0,0.0,9965600.2,0.0,0.0,0.0,0.0,36,,
31574,59868,1,Meta 1,Construção de unidades Habitacionais,UN,10.0,0.0,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,24,,
1093,57843,24,Meta 24,"KIT JOGADOR DE LINHA TREINO contendo 1 camisa em dry fit com logomarca do projeto e escudo em transfer na cor azul claro, 1 calção em dry fit com logomarca do projeto e escudo em Transfer na cor preta, modelo a escolher e 1 meião composto de 52% de poliam",UN,20.0,4060.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,,
17378,26621,1,Meta 1,Pavimentação de vias urbanas,UN,1.0,0.0,250000.0,0.0,0.0,0.0,0.0,0.0,0.0,24,,
13180,20467,1,Meta 1,Aquisição e instalção de Poltronas no Centro de Eventos de Ponte Alta do Tocantins,UN,100.0,0.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,6,,
28388,44762,2,Meta 2,Cobertura de Quadra Poliesportiva,UN,1.0,0.0,24000.0,0.0,193345.0,0.0,0.0,0.0,0.0,24,,
1824,2546,2,Meta 2,Aquisição de equipamentos e material permanente para o bem-estar animal,UN,1.0,0.0,280000.0,0.0,0.0,0.0,0.0,0.0,0.0,48,,
14133,21731,1,Meta 1,Ampliação de imóvel público,UN,1.0,0.0,150000.0,0.0,0.0,0.0,0.0,0.0,0.0,36,,
64,82,1,Meta 1,"Aquisição de Conjuntos Didático Pedagógico e Prático, composto de livros e de materiais práticos elaborados/confeccionados especificamente para o ensino das disciplinas de Educação Física, Esportes e Atividades Extracurriculares ",UN,1.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,12,,
32892,65371,2,Meta 2,PAVIMENTAÇÃO,UN,1.0,0.0,700000.0,0.0,0.0,0.0,0.0,0.0,0.0,32,,
68,86,1,Meta 1,MANUTENAÇÃO DAS ATIVIDADES DE LIMPEZA PÚBLICA,UN,1.0,0.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,36,,
4200,5958,1,Meta 1,Construção de Almoxarifado Municipal,UN,1.0,0.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,36,,
69,87,1,Meta 1,MANUTENÇÃO DAS ATIVIDADES DE LIMPEZA PÚBLICA,UN,1.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,36,10847.0,
25966,39935,3,Meta 3,Aquisição de equipamentos para a Secretaria Municipal de Administração,UN,1.0,0.0,120000.0,0.0,0.0,0.0,0.0,0.0,0.0,36,,
30,41,1,Meta 1,"Praça e Ecoponto José Bernardino Deschamps, na Vila Itoupava",UN,1.0,0.0,400000.0,0.0,0.0,0.0,0.0,0.0,0.0,18,,
15141,23211,1,Meta 1,Pavimentação Asfáltica em vias urbanas do Município de Maravilha/SC,M2,17912.0,0.0,5547289.0,0.0,0.0,0.0,0.0,0.0,0.0,24,,
2023,2818,1,Meta 1,Pavimentar Estrada Serra Negra,UN,1.0,0.0,130000.0,0.0,0.0,0.0,0.0,0.0,0.0,36,,
71,90,1,Meta 1,Pavimentação do Acesso ao Parque de Eventos,UN,1.0,0.0,100000.0,0.0,205438.75,0.0,0.0,0.0,0.0,12,,
6512,9620,1,Meta 1,REFORMA DO ESF 1 - VERA LUCIA FERNANDES DE OLIVEIRA - (ETAPA 01),UN,1.0,0.0,250000.0,0.0,0.0,0.0,0.0,0.0,0.0,36,,
13982,21540,1,Meta 1,Utilização dos recursos financeiros no Hospital Intermunicipal de Francisco Beltrão,UN/M2,1.0,0.0,400000.0,0.0,0.0,0.0,0.0,0.0,0.0,36,,
30586,54829,1,Meta 1,Construção da Arquibancada do campo do bairro Jardim Floresta,UN,1.0,0.0,200000.0,0.0,7539.03,0.0,0.0,0.0,0.0,16,,
30286,53817,1,Meta 1,"EXECUÇÃO DOS SERVIÇOS DE DRENAGEM URBANA, TERRAPLENAGEM, RECAPEAMENTO E PAVIMENTAÇÃO EM DIVERSOS BAIRROS DO PERÍMETRO URBANO DO MUNICÍPIO DE ANANINDEUA/PA.",UN,1.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,12,,
7551,11153,1,Meta 1,"AQUISIÇÃO DE EQUIPAMENTOS E MATERIAS PARA EQUIPAR POÇOS ARTESIANOS, PGT COM RECURSO ORIUNDO DA TRANSFERENCIA ESPECIAL DA UNIÃO.",UN,1.0,0.0,101018.0,0.0,0.0,0.0,0.0,0.0,0.0,12,,
23929,37155,1,Meta 1,INFRAESTRUTURA URBANA ,UN,1.0,0.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,8,,
109,147,1,Meta 1,"EXECUÇÃO DE PAVIMENTO COM APLICAÇÃO DE CONCRETO ASFALTICO, CAMADA DE ROLAMENTO-EXCLUSIVE CARGA E TRANSPORTE AF 11/2019 (Quantidade 168,26 m³)",M3,168.0,0.0,300000.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,
5124,7530,1,Meta 1,Recuperação de Estradas Vicinais,UN,1.0,0.0,144626.45,0.0,289551.02,0.0,815.03,0.0,0.0,36,,
