id_op_ob,data_emissao_op,numero_ordem_pagamento,vinculacao_op,situacao_op,descricao_situacao_op,data_situacao_op,data_emissao_ob,numero_ordem_bancaria,numero_ordem_lancamento,data_assinatura_ordenador_despesa_ob,data_assinatura_gestor_financeiro_ob,id_dh,id_empenho,id_plano_acao,uf_beneficiario_plano_acao
360,2020-06-26,2020OP000118,405,5,OB Enviada à instituição bancária para pagamento,2020-06-26,2020-06-26,2020OB800117,2020NS006253,2020-06-26,2020-06-26,21089,4005.0,,
951,2020-06-26,2020OP000119,405,5,OB Enviada à instituição bancária para pagamento,2020-06-26,2020-06-26,2020OB800118,2020NS006254,2020-06-26,2020-06-26,21090,3761.0,,
41,2020-06-26,2020OP000120,405,5,OB Enviada à instituição bancária para pagamento,2020-06-26,2020-06-26,2020OB800119,2020NS006255,2020-06-26,2020-06-26,21091,4240.0,,
230,2020-06-26,2020OP000121,405,5,OB Enviada à instituição bancária para pagamento,2020-06-26,2020-06-26,2020OB800120,2020NS006256,2020-06-26,2020-06-26,21092,4928.0,,
229,2020-06-26,2020OP000122,405,5,OB Enviada à instituição bancária para pagamento,2020-06-26,2020-06-26,2020OB800121,2020NS006257,2020-06-26,2020-06-26,21093,4290.0,,
244,2020-06-26,2020OP000123,405,5,OB Enviada à instituição bancária para pagamento,2020-06-26,2020-06-26,2020OB800122,2020NS006258,2020-06-26,2020-06-26,21094,4613.0,,
1100,2020-06-26,2020OP000124,405,5,OB Enviada à instituição bancária para pagamento,2020-06-26,2020-06-26,2020OB800123,2020NS006259,2020-06-26,2020-06-26,21095,3966.0,,
721,2020-06-26,2020OP000125,405,5,OB Enviada à instituição bancária para pagamento,2020-06-26,2020-06-26,2020OB800124,2020NS006260,2020-06-26,2020-06-26,21097,3583.0,,
373,2020-06-26,2020OP000126,405,5,OB Enviada à instituição bancária para pagamento,2020-06-26,2020-06-26,2020OB800125,2020NS006261,2020-06-26,2020-06-26,21098,4760.0,,
724,2020-06-26,2020OP000127,405,5,OB Enviada à instituição bancária para pagamento,2020-06-26,2020-06-26,2020OB800126,2020NS006262,2020-06-26,2020-06-26,21099,4444.0,,
934,2020-06-26,2020OP000128,405,5,OB Enviada à instituição bancária para pagamento,2020-06-26,2020-06-26,2020OB800127,2020NS006263,2020-06-26,2020-06-26,21100,5095.0,,
729,2020-06-26,2020OP000129,405,5,OB Enviada à instituição bancária para pagamento,2020-06-26,2020-06-26,2020OB800128,2020NS006264,2020-06-26,2020-06-26,21101,4742.0,,
1161,2020-06-26,2020OP000130,405,5,OB Enviada à instituição bancária para pagamento,2020-06-26,2020-06-26,2020OB800129,2020NS006265,2020-06-26,2020-06-26,21102,4929.0,,
