id_plano_trabalho,situacao_plano_trabalho,ind_orcamento_proprio_plano_trabalho,data_inicio_execucao_plano_trabalho,data_fim_execucao_plano_trabalho,prazo_execucao_meses_plano_trabalho,id_plano_acao,classificacao_orcamentaria_pt,ind_justificativa_prorrogacao_atraso_pt,ind_justificativa_prorrogacao_paralizacao_pt,justificativa_prorrogacao_pt,uf_beneficiario_plano_acao
2806,Em Complementação,Sim,2023-03-29T00:00:00,2023-09-29T00:00:00,6,17619,"1038 - MODERNIZAÇÃO DO PRÉDIO DO CLUBE MUNICIPAL
1120 - REFORMA E REVITALIZAÇÃO DA FEIRA COBERTA DO MUNICÍPIO",False,False,,
8489,Em Complementação,Sim,2024-07-03T00:00:00,2027-07-03T00:00:00,36,66590,"05.05 – 15 451 0022 1.006 – CONSTRUÇÃO, REFORMA E AMPLIAÇÃO DE PONTES, PASSAGEM MOLHADA, BUEIRO, BARRAGENS E AFINS
08.08 – 17 512 0024 1.030 – CONSTRUÇÃO E AMPLIAÇÃO DO SISTEMA MUNICIPAL DE SANEAMENTO BÁSICO RURAL
09.09 – 20 608 0026 1.041 – CONSTRUÇÃO DO PARQUE DE EXPOSIÇÃO
05.05  – 26 782 0022 1.014 – PAVIMENTAÇÃO DE RUAS E AVENIDAS
05.05  – 26 782 0022 1.015 – AMPLIAÇÃO, RECUPERAÇÃO, RECAPEAÇÃO E ABAULAMENTO DE VIAS PÚBLICAS
05.05  – 15 452 0023 1.011 – CONSTRUÇÃO E AMPLIAÇÃO DE EQUIPAMENTOS PÚBLICOS
",False,False,,
26688,Em Complementação,Não,2022-07-01T00:00:00,2023-07-01T00:00:00,12,15981,,False,False,,
22892,Em Complementação,Sim,2022-07-01T00:00:00,2026-07-01T00:00:00,48,17688,06014490510412200202106059000000,False,False,,
4804,Enviado para Análise,Sim,2023-08-30T00:00:00,2023-10-30T00:00:00,2,34543,"15.452.0031.1004.0000 - Recapeamento de vias públicas
998 4.4.90.51.00 obras e instalações",False,False,,
26569,Em Complementação,Sim,2023-08-30T00:00:00,2026-08-30T00:00:00,36,37463,"15 Urbanismo 
15.451 Infra-estrutura Urbana 
15.451.1501 PLANEJAMENTO URBANO 
15.451.1501.1049 Pavimentação/Calcamento de Vias Urbanas
",False,False,,
14325,Enviado para Análise,Sim,2023-09-29T00:00:00,2026-09-29T00:00:00,36,34787,"05 - Secretaria Municipal Obras, Serviços Públicos e Trânsito
00 - Secretaria Municipal de Obras, Serviços Públicos e Trânsito
15.451.0016.2336.0000 - Mais Desenvolvimento e Infraestrutura Urbano e Rural
4.4.90.51.00- OBRAS E INSTALAÇÕES
91-OBRAS EM ANDAMENTO

",False,False,,
25298,Enviado para Análise,Sim,2023-12-11T00:00:00,2025-12-11T00:00:00,24,36989,"DOTAÇÃO ORÇAMENTÁRIA 
249- 07.001.1022.0015.0451.0023.34490000000000",False,False,,
2762,Enviado para Análise,Sim,2023-08-30T00:00:00,2027-08-30T00:00:00,48,37956,"1) 10.02.22.661.0027.2.275 4.4.90.51 Obras e Instalações Fonte 7.008
2) 16.02.27.812.0041.1.132 4.4.90.51 Obras e Instalações Fonte 7.008",False,False,,
24474,Em Complementação,Sim,2021-12-24T00:00:00,2022-12-24T00:00:00,12,13835,"AVIMENTAÇÃO DE VIAS PÚBLICAS - 1545103231.017
OBRAS E INSTALAÇÕES - 44905100
TRANSFERÊNCIA ESPECIAL DA UNIÃO - EMENDAS PARLAMENTARES - 706.3110
OBRAS PÚBLICAS DE USO COMUM DO POVO - 400",False,False,,
10856,Enviado para Análise,Sim,2020-06-26T00:00:00,2023-06-26T00:00:00,36,3981,"Órgão: 02 - Poder Executivo
Unidade: 004 - Secretaria de Administração
Função:0004 - Administração
Subfunção:0451 - Infraestrutura Urbana
Programa:0005 - Gestão Ética e Transparente
Ação:2010 - Reestruturação e Ampliação das Edificações do Parque de Exposições Álvaro Dias
Elemento de Depesa: 44.90.51 - Obras e instalações - Investimento
",False,False,,PR
2299,Em Complementação,Sim,2024-07-03T00:00:00,2027-07-03T00:00:00,36,64710,"15-Urbanismo / 451-Infraestrutura Urbana
20-Agricultura / 606-Extensão Rural",False,False,,
24955,Enviado para Análise,Sim,2022-07-01T00:00:00,2025-07-01T00:00:00,36,15710,020501 26 782 0534 1.041 - Ficha 193,False,False,,
5800,APROVADO,Sim,2024-07-03T00:00:00,2025-07-03T00:00:00,12,65478,"Órgão: 10 – Secretaria Municipal de cultura, esporte e lazer
Unidade: 10.02 – Apoio as atividades da secretaria Municipal de cultura, esporte e lazer
Funcional: 13.392.0005 – Democratização das práticas de esporte e da cultura
Projeto/atividade: 1.016 – Realização de feiras e eventos
Elemento: 3.3.90.39.99.00.00.00.0501 – Outros serviços terceiros PJ",False,False,,
30338,Em Complementação,Sim,2023-03-29T00:00:00,2026-03-29T00:00:00,36,18085,RECAPEAMENTO ASFÁLTICO EM VÁRIAS RUAS DO MUNICÍPIO DE BARBOSA - 15.451.0017.2038.0000,False,False,,
16640,Enviado para Análise,Sim,2023-12-11T00:00:00,2026-12-11T00:00:00,36,32040,"LEI Nº 810, DE 22 DE DEZEMBRO DE 2023 

ÓRGÃO: 07 - SECRETARIA MUNICIPAL DE OBRAS E INFRAESTRUTURA
UNIDADE: 0701 - SECRETARIA MUNICIPAL DE OBRAS E INFRAESTRUTURA
FUNÇÃO: 26 - TRANSPORTE
SUBFUNÇÃO: 26 782 - TRANSPORTE RODOVIÁRIO
PROGRAMA: 26 782 0260 - ESTRADAS VICINAIS
ATIVIDADE: 26 782 0260 1.018 - CONSTRUÇÃO E CONSERVAÇÃO DE ESTRADAS VICINAIS, PONTES E BUEIROS
NATUREZA DA DESPESA: 4.4.90.51.00 
",False,False,,
13438,Em Complementação,Sim,2023-08-30T00:00:00,2026-08-30T00:00:00,36,34511,02.09.02.14.451.0046.1015.0004.4.4.90.51.00 ,False,False,,
30316,Enviado para Análise,Sim,2020-06-26T00:00:00,2024-06-26T00:00:00,48,3217,"SECRETARIA DE INFRAESTRUTURA E OBRAS
44.90.51.91
25752.0017.1004.0000",False,False,,RR
29199,Enviado para Análise,Sim,2022-07-01T00:00:00,2025-07-01T00:00:00,36,20499,"ÓRGÃO: 07 SECRETARIA DE CULTURA E ESPORTES
UNIDADE: 002 DEPARTAMENTO DE CULTURA
FUNÇÃO: 13 CULTURA
SUBFUNÇÃO: 392 DIFUSÃO CULTURAL
PROGRAMA: 1301 PROGRAMA MAIS CULTURA
PROJETO/ATIVIDADE: 2-090 ATIVIDADES DO DEPARTAMENTO DE CULTURA
",False,False,,
17453,Enviado para Análise,Sim,2023-03-29T00:00:00,2026-01-29T00:00:00,34,19225,"Órgão: 02 - Executivo
Unidade: 07 - Secretaria de Obras e Transportes 
Subunidade: 01 -  Secretaria de Obras e Transportes 
Função: 26 - Transporte
Subfunção: 782 - Transporte Rodoviário
Programa: 0022 - FICALIZAÇÃO E MELHORIA DOS SERVIÇOS PÚBLICOS
Projeto/Atividade: 1.169 - Construção Novo Terminal Rodoviário
Natureza:  4.4.90.51.02 - Obras e Instalações de Domínio Patrimonial
Fonte de Recurso: 2.706.000.3110 - Identificação das Transferências da União decorrentes de emendas parlamentares individuais Transferência Especial da União 

Órgão: 02 - Executivo
Unidade: 06- Secretaria de Educação 
Subunidade: 01 -  Secretaria de Educação 
Função: 12 - Educação
Subfunção: 365 - Educação Infantil
Programa: 0009  - UNIVERSALIZAÇÃO DO ENSINO INFANTIL
Projeto/Atividade: 1.170 - Construção e Melhoria de Prédios Escolares - Modalidade Pré-Escola
Natureza:  4.4.90.51.01 - Obras e Instalações de Domínio Público
Fonte de Recurso: 2.706.000.3110 - Identificação das Transferências da União decorrentes de emendas parlamentares individuais Transferência Especial da União 

Órgão: 02 - Executivo
Unidade: 07 - Secretaria de Obras e Transportes 
Subunidade: 01 -  Secretaria de Obras e Transportes 
Função: 04 - Administração
Subfunção: 451 - Infra Estrutura Urbana
Programa: 0027 - PROJETOS E OBRAS DIVERSAS
Projeto/Atividade: 1.136 - Construção do Portal Municipal 
Natureza:  4.4.90.51.01 - Obras e Instalações de Domínio Público
Fonte de Recurso: 2.706.000.3110 - Identificação das Transferências da União decorrentes de emendas parlamentares individuais Transferência Especial da União
",False,False,,
21225,Enviado para Análise,Não,2023-03-29T00:00:00,2026-03-29T00:00:00,36,14538,,False,False,,
13573,Enviado para Análise,Sim,2023-03-29T00:00:00,2026-03-29T00:00:00,36,15562,"449052 - Equipamento e Material Permanente
449051 - Obras e Instalações",False,False,,
13470,Enviado para Análise,Sim,2020-06-26T00:00:00,2023-06-26T00:00:00,36,3467,-02.08-17.512.0031.1024,False,False,,MG
170,Enviado para Análise,Sim,2023-12-11T00:00:00,2025-01-11T00:00:00,13,35567,"ÓRGÃO: 05 Secretaria de Obras e Saneamento
UNIDADE: 03 Área Urbana
FUNÇÃO: 15 Urbanismo
SUBFUNÇÃO: 451 Infraestrutura Urbana
PROGRAMA: 1.105 Revitalização de Praças e Construção de Rua Coberta
Dotação: 4254  Natureza da Despesa: 4.4.90.51.00.00.00 Obras e Instalações 

FONTE DE RECURSO: 1706 Transferência Especial da União.",False,False,,
