id_relatorio_gestao,situacao_relatorio_gestao,parecer_relatorio_gestao,id_plano_acao,uf_beneficiario_plano_acao
4541,EM_ELABORACAO,documentos de obra em anadmento ,36104,
4814,DISPONIBILIZADO,Implantação de Rede de Abastecimento de Água na localidade de Capão Rico - Santa Terezinha para o atendimento de 17 famílias.,20718,
8154,DISPONIBILIZADO,"Drenagem e Pavimentação em lajotas da Rua Pedro Roque Vargas no Bairro Colônia Nova Itália, no município de São João Batista/SC",3497,SC
6922,DISPONIBILIZADO,EXECUÇÃO DE RECAPEAMENTO ASFÁLTICO EM VIAS PÚBLICAS DO MUNICÍPIO DE NOVA EUROPA. OBJETO EXECUTADO INTEGRALMENTE.,9727,
3011,DISPONIBILIZADO,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PAVIMENTAÇÃO COM BLOQUETE TRECHO DA RUA BEM-TE-VI.,3972,MG
7234,EM_ELABORACAO,Prestação de contas.,34530,
6791,EM_ELABORACAO,"1 - DESPORTO - Contratação de empresa para construção de cobertura em estrutura metálica na Quadra de Grama Sintética localizada na Comunidade de São Judas Tadeu - Aditivo nº 02 ao Contrato nº 096/2021.
2 - CULTURA - Construção de piso polido e tablado de madeira – Centro de Eventos (Parque de Rodeios) localizado
na Linha Visconde de Pelotas, s/n, de acordo com o memorial descritivo das especificações técnicas, planilha
orçamentária, cronograma físico financeiro e demais documentos: LOTE 01: CONSTRUÇÃO DO PISO DE CONCRETO POLIDO com área de 573,05m²; LOTE 02: Construção de TABLADO EM MADEIRA, com área de 217,60 m²; LOTE 03: Serviço de PINTURA DO PISO POLIDO E DO TABLADO DE MADEIRA, com área de 792,65 m².",15321,
3100,DISPONIBILIZADO,Aquisição de máquinas e equipamentos pesados,9956,
7459,DISPONIBILIZADO,"SERVIÇOS DE CONSTRUÇÃO DE
PONTES DE CONCRETO PRÉ-MOLDADA COM LASTRO FORMATO POR VIGAS TIPO ""U"" DE SEÇÃ
O 70X60CM, COM RESISTÊNCIA CLASSE c45, SEREM CONSTRUIDAS NAS LOCALIDADES ITA
GI E LIMOEIRO. CONFORME CONTRATO ADMINISTRTIVO Nº017/2021/2022-TP-SEMINFRA-C",10591,
11659,EM_ELABORACAO,Realizado utilização,37071,
7235,DISPONIBILIZADO,CERCAMENTO DA QUADRA DE AREIA DA PRAÇA DE ARCOVERDE,18525,
7236,DISPONIBILIZADO,PAVIMENTAÇÃO ASFÁLTICA DA ESTRADA 1ª SEÇÃO DE CASTRO,12598,
4032,EM_ELABORACAO,dd,4273,
1475,DISPONIBILIZADO,Investimento para Ampliação de Estrutura COOPERAV-MST ,18278,
11347,DISPONIBILIZADO,Programação Finalística – Transferência Especial Federal - Plano de Ação Número - 09032021-010133,10133,
2645,DISPONIBILIZADO,Prestação de contas referente recurso recebido.,16702,
11349,DISPONIBILIZADO,Programação Finalística – Transferência Especial Federal - Plano de Ação Número - 09032021-012299,12299,
